cause,effect,label,lb,metric,ub
social_1_S013_IME,social_1_S007_EGR,0,0.7276637283188688,PS,0.8527757713480878
social_1_S015_ODI,social_1_S007_EGR,1,0.41285910130022174,PS,0.6499851002816156
Topography_Env104_MGU_litt,social_1_S007_EGR,2,0.5360952145637496,PS,0.7828499424766963
social_1_S003_MsR,social_1_S007_EGR,3,0.035617360993401646,PS,0.19363305544124024
altEconomyClass_1_Ec109_OcuTradBankServHab,social_1_S007_EGR,4,0.6333240920094085,PS,0.8175128066607437
altEconomyClass_1_Ec096_OcuSecunHab,social_1_S007_EGR,5,0.3574722912369441,PS,0.718934620654439
social_1_S040_Tbnatalidad,social_1_S007_EGR,6,0.39992148167183833,PS,0.7585303211684681
social_1_S036_Tbmortalid,social_1_S007_EGR,7,0.3849663506167797,PS,0.6093085329668267
