cause,effect,label,lb,metric,ub
social_1_S013_IME,social_1_S007_EGR,0,0.5042352673456083,ACE,0.5566024159063401
social_1_S015_ODI,social_1_S007_EGR,1,0.19148050481032153,ACE,0.23136616751400363
Topography_Env104_MGU_litt,social_1_S007_EGR,2,0.16517675077041893,ACE,0.2036690028252267
social_1_S003_MsR,social_1_S007_EGR,3,0.009329843147847683,ACE,0.015026169290488944
altEconomyClass_1_Ec109_OcuTradBankServHab,social_1_S007_EGR,4,0.18374395658245934,ACE,0.2640328150299712
altEconomyClass_1_Ec096_OcuSecunHab,social_1_S007_EGR,5,0.07128226926126524,ACE,0.11715431345261773
social_1_S040_Tbnatalidad,social_1_S007_EGR,6,0.14882194484403888,ACE,0.24677786049642214
social_1_S036_Tbmortalid,social_1_S007_EGR,7,0.1610130322575103,ACE,0.22599352834050856
